S No,Tweets,Sentiments
1, Nova Scotia’s annual🎁to the  has arrived! This year's #TreeForBoston received a holiday send-off in Halifax before…,positive
2, The Muttart Foundation speaks out on Alberta's inquiry: “Disagreeing with government or with those involved in the energy indu…,positive
3, I waved goodbye to a close friend and his family yesterday as they left for Canada to start afresh.  Funny thing is his fath…,positive
4, I simply couldn't have become a full-time freelance writer without Canada's health system. Started writing around the time…,positive
5," Stratospheric warming event over Canada around Thanksgiving? Maybe. The theory is that about 2 weeks after such an event,…",positive
6,New Post: Old Navy Canada: Save 40% off Everything! No Exclusions ,positive
7,I want to build this brand slow  Buy 10-20 pieces initially and ship them out myself to make sure it gets there fas… ,positive
8," Good news from Calgary City, which is the second city in Canada to reject defining advocacy for Palestinian rights as antise…",positive
9, I simply couldn't have become a full-time freelance writer without Canada's health system. Started writing around the time…,positive
10," Here is the original for everyone asking , this was taken on lake Louise in Alberta Canada in mid October before all the…",positive
11," Here is the original for everyone asking , this was taken on lake Louise in Alberta Canada in mid October before all the…",positive
12, This is my wife’s brother. Keep an eye out all over Canada please ,positive
13, It started with a few innocent words on DeviantArt and then suddenly she ended up flying all to way from Poland to Canada so…,positive
14," Here is the original for everyone asking , this was taken on lake Louise in Alberta Canada in mid October before all the…",positive
15, It blew my mind. Now to get the rest of Canada to wake up. WE could be just like the US a govt. for &amp;… ,positive
16, The single biggest action Canada can take to reduce global emissions is to expand and ship Canadian Liquefied Natural Gas to t…,positive
17," (Jumped the gun on #Shauger. 😅)  Team Canada gives a walk-over to Team USA in the doubles, concluding a 2-1 win for Canad…",positive
18," Here is the original for everyone asking , this was taken on lake Louise in Alberta Canada in mid October before all the…",positive
