S No,Tweets,Sentiments
1, U.S. commandos resume large-scale counterterrorism operations against ISIS in Northern Syria with Syrian Kurdish fighte…,positive
2," “The Kurds vow to defend themselves—alone if necessary—against Syria, Turkey &amp; Russia.” #Rojava ",positive
3," I'll just point out that ""unidentified"" aircraft operating in Syria and Iraq, especially at night, are… ",positive
4,      Wait I thought you and malicious Syria regime change…,positive
5,Turkey will not resume its Syria incursion: report ,positive
6," In 1897, the US State Department had to intervene with the Ottoman government in Southern Syria (Palestine) because th…",positive
7, 2/... 1. #Iran with #Russia #China #Syria #Hezbollah #Hamas Houthis vs U.S. #UK #SaudiArabia #Israel Gulf states maybe…,positive
8, ,positive
9,"Reading, writing, and radicalizing: ""Calls are mounting for the closure of a leading state-funded #Islamic school i… ",positive
10, So much for Trump’s “Mission Accomplished”!  ,positive
11,(Thread) #Solidarity #Syria 🇸🇾 ,positive
12, There are two possible explanations for the U.S. Resuming Large-Scale Operations Against ISIS in Northern Syria: - everyth…,positive
13," “The Kurds vow to defend themselves—alone if necessary—against Syria, Turkey &amp; Russia.” #Rojava ",positive
