S No,Tweets,Sentiments
1, A humanitarian disaster threatens the lives of millions of civilians in northern #Syria... Russian bombardment keeps civ…,positive
2, New evidence shows Syria’s Assad may have been falsely blamed for the 2018 chemical attack. ,positive
3,"  The absolute unconfitional surrender of Syria to Turkey, Russia + ISIS is no joke… ",positive
4," Today, let's make a dua for the poor and the oppressed. The countless innocent people who are suffering every day. May…",positive
5, New evidence shows Syria’s Assad may have been falsely blamed for the 2018 chemical attack. ,positive
6, New evidence shows Syria’s Assad may have been falsely blamed for the 2018 chemical attack. ,positive
7,    HOLY SHIT now he's peddling WikiLeaks deza about the chemical attacks in Syria.  Dude i…,positive
8, Past week’s balance sheet for US foreign policy &amp; national security:  •We betrayed the Kurds •We undermined trust in 🇺🇸…,positive
9, #IslamophobiaRejected   (I AM Muslim)——-ISIS Kill me In SYRIA &amp; IRAQ ——JEWS Kill Me In PALESTINE——-HINDUS Kill Me In Kash…,positive
10,BC: Failure in Syria led to the rise of _____. WC: Zero fucks.  Vote on this Pair to help teach our AI what's funny… ,positive
11," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
12," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
13, Tucker followed this segment with a bizarre attack on the decision to bomb Syrian chemical weapons factories in 2018. Russia…,positive
14, #Erdogan “Our God commands us to be violent towards the #kuffar. Who are we? The ummah of #Mohd. So [God] also commands u…,positive
15," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
16," Neoliberal rag The Guardian of Blairism (which for years has spewed regime-change propaganda against Syria, whitewashin…",positive
17," Neoliberal rag The Guardian of Blairism (which for years has spewed regime-change propaganda against Syria, whitewashin…",positive
18," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
19," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
20," We live in a dystopian hell where Fox, one of the most biased right-wing outlets imaginable, is for once actually doing…",positive
21," Neoliberal rag The Guardian of Blairism (which for years has spewed regime-change propaganda against Syria, whitewashin…",positive
22," No words can describe our pain Palestine, Syria, Afghanistan, Yemen, Burma, Kashmir and Iraq May Allah save us all, amen…",positive
23, New evidence shows Syria’s Assad may have been falsely blamed for the 2018 chemical attack. ,positive
24," We live in a dystopian hell where Fox, one of the most biased right-wing outlets imaginable, is for once actually doing…",positive
25," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
26, New evidence shows Syria’s Assad may have been falsely blamed for the 2018 chemical attack. ,positive
27, Sooo...  We abandoned the Kurds for exactly no reason but to give Erdogan and Putin bigger footholds in Syria.  Got it.…,positive
28," On a ✈️ , so it’s official: Israel has expelled me over my  advocacy, joining Syria, Egypt &amp; Bahrain in barring me acc…",positive
29, New evidence shows Syria’s Assad may have been falsely blamed for the 2018 chemical attack. ,positive
30," President Trump's order to withdraw troops from northern Syria, combined with Turkey's assault against Kurdish forces, allowe…",positive
31," We live in a dystopian hell where Fox, one of the most biased right-wing outlets imaginable, is for once actually doing…",positive
32, More than 4.5 million civilians live in northern #Syria. What future awaits them without the most important medical ser…,positive
33," The second whistleblower says 3 US officials pressured the OPCW to alter its report to blame Syria for the ""chemical at…",positive
