S No,Tweets,Sentiments
1, Today in #Haiti - another mass funeral for protesters and activists murdered by the criminal government and allies. The C…,positive
2,canada has had these fuckers for years it ain’t new ,positive
3,Esse baile no Canadá hoje é verídico??? 🤔🇨🇦,positive
4, Setting the record straight on restricted firearms ownership in Canada.  doesn’t want Canadians to know ANY…,positive
5, UCP are attempting an extraordinary abuse of power by firing the election commissioner in the middle of an investigation in…,positive
6, No hay explicación a este salvaje incremento de pacientes derivados a clínicas de género en Canadá  ni por qué el 75% s…,positive
7, In #Haiti - After the mass funeral of activists murdered by the criminal regime that was violently installed and maintain…,positive
8, UCP are attempting an extraordinary abuse of power by firing the election commissioner in the middle of an investigation in…,positive
9, Canada’s cannabis caper has markets in chaos “Almost every segment of the market is incurring financial losses”! If the Fe…,positive
10,"   I’m team Canada, but thats a lack of sportsmanship imo. You have 4 or 5 p… ",positive
11, Canadians have distorted view on the well-being of the country's children: poll  ,positive
12,"   Shenzhen, once considered one of the dirtiest industrial areas in China, is now… ",positive
13, UCP denies political interference over firing of election commissioner | CBC News ,positive
14, Two prison guards tasked with watching Jeffrey Epstein on night he killed himself charged with falsifying records …,positive
15, Manitoba to create program to fight sexual exploitation in northern communities ,positive
